Date,SP500,DAX,KOSPI,NIKKEI,HSCEI,GOLD
2023-05-09,4119.169921875,15955.48046875,2510.06005859375,29242.8203125,6735.1298828125,189.02000427246094
2023-05-10,4137.64013671875,15896.23046875,2496.510009765625,29122.1796875,6683.22998046875,188.75
2023-05-11,4130.6201171875,15834.91015625,2491.0,29126.720703125,6695.10986328125,187.1300048828125
2023-05-12,4124.080078125,15913.8203125,2475.419921875,29388.30078125,6663.5498046875,186.80999755859375
2023-05-15,4136.27978515625,15917.240234375,2479.35009765625,29626.33984375,6780.080078125,187.2100067138672
2023-05-16,4109.89990234375,15897.9296875,2480.239990234375,29842.990234375,6789.3701171875,184.8699951171875
2023-05-17,4158.77001953125,15951.2998046875,2494.659912109375,30093.58984375,6636.66015625,184.22999572753906
2023-05-18,4198.0498046875,16163.3603515625,2515.39990234375,30573.9296875,6715.56005859375,181.83999633789062
2023-05-19,4191.97998046875,16275.3798828125,2537.7900390625,30808.349609375,6593.919921875,183.63999938964844
2023-05-22,4192.6298828125,16223.990234375,2557.080078125,31086.8203125,6693.64013671875,183.2100067138672
2023-05-23,4145.580078125,16152.8603515625,2567.550048828125,30957.76953125,6603.56982421875,183.42999267578125
2023-05-24,4115.240234375,15842.1298828125,2567.449951171875,30682.6796875,6478.080078125,181.9499969482422
2023-05-25,4151.27978515625,15793.7998046875,2554.68994140625,30801.130859375,6333.6298828125,180.1999969482422
2023-05-30,4205.52001953125,15908.91015625,2585.52001953125,31328.16015625,6283.7099609375,182.0399932861328
2023-05-31,4179.830078125,15664.01953125,2577.1201171875,30887.880859375,6163.33984375,182.32000732421875
2023-06-01,4221.02001953125,15853.66015625,2569.169921875,31148.009765625,6149.64013671875,183.75999450683594
2023-06-02,4282.3701171875,16051.23046875,2601.360107421875,31524.220703125,6428.330078125,181.0500030517578
2023-06-05,4273.7900390625,15963.8896484375,2615.409912109375,32217.4296875,6463.89990234375,182.13999938964844
2023-06-07,4267.52001953125,15960.5595703125,2615.60009765625,31913.740234375,6541.16015625,180.14999389648438
2023-06-08,4293.93017578125,15989.9599609375,2610.85009765625,31641.26953125,6540.02978515625,182.52999877929688
2023-06-09,4298.85986328125,15949.83984375,2641.159912109375,32265.169921875,6589.31982421875,182.0399932861328
2023-06-12,4338.93017578125,16097.8701171875,2629.35009765625,32434.0,6585.68017578125,181.8800048828125
2023-06-13,4369.009765625,16230.6796875,2637.949951171875,33018.6484375,6618.2900390625,180.5399932861328
